"","Day_1","Day_10","Day_30","Day_60"
"08097",0,0,2,2
"08099",0,0,0,0
"08101",0,0,3,12
"08103",0,0,0,0
"08105",0,0,0,0
"08107",0,0,1,6
"08109",0,0,0,1
"08113",0,0,0,0
"08117",0,0,0,2
"08119",1,1,2,2
"08121",0,0,0,0
"08123",0,2,44,114
"08125",0,0,0,0
"09001",0,0,101,952
"09003",0,2,116,931
"09005",0,0,16,107
"09007",0,1,30,124
"09009",0,0,119,723
"09011",0,0,10,66
"09013",0,4,24,54
"09015",0,0,2,14
"10001",0,0,9,52
"10003",0,0,13,93
"10005",0,1,17,108
"11001",0,0,22,264
"12001",0,0,0,5
"12003",0,0,2,3
"12005",0,0,2,3
"12007",0,0,2,2
"12009",0,0,6,9
"12011",0,0,32,208
"12013",0,0,0,4
"12015",0,0,1,26
"12017",0,0,7,11
"12019",0,1,8,19
"12021",0,0,3,27
"12023",0,0,0,2
"12027",0,1,4,7
"12029",0,0,0,2
"12031",0,2,11,29
"12033",0,0,4,19
"12035",0,0,2,4
"12037",0,0,0,0
"12039",0,0,0,1
"12041",0,0,0,0
"12043",0,1,1,1
"12045",0,0,0,0
"12047",0,0,0,0
"12049",0,0,0,0
"12051",0,0,2,12
"12053",0,0,2,5
"12055",0,1,6,8
"12057",0,0,2,23
"12059",0,0,0,0
"12061",0,0,2,9
"12063",0,0,0,0
"12065",0,1,2,3
"12067",0,0,0,0
"12069",0,0,4,14
"12071",1,2,11,46
"12073",0,0,0,6
"12075",0,0,0,0
"12077",0,0,0,1
"12079",0,0,2,4
"12081",0,0,1,49
"12083",0,0,3,5
"12085",0,0,4,7
"12086",0,0,66,482
"12087",0,0,3,3
"12089",0,0,0,1
"12091",0,0,1,5
"12093",0,0,0,0
"12095",0,1,12,34
"12097",0,0,5,13
"12099",0,0,79,237
"12101",0,0,2,9
"12103",0,0,10,59
"12105",0,0,10,40
"12107",0,0,1,3
"12109",0,0,2,4
"12111",0,2,15,28
"12113",0,1,2,8
"12115",0,0,10,57
"12117",0,0,2,11
"12119",0,0,11,16
"12121",0,0,11,18
